grid_id,year,longitude,latitude,frac_built,frac_vegetation,frac_cropland,frac_water,frac_wetland,frac_bare,dominant_class,oh_built,oh_vegetation,oh_cropland,oh_water,oh_wetland,oh_bare,mixed_flag,valid_obs_ratio,a_valid
Y2018_LAT23.52482_LON90.15502,2018,90.15502415698468,23.524824690620612,0.0,0.0,0.0,0.93174075064572,0.0,0.06825924935427995,4,0,0,0,1,0,0,0,0.08778755969238282,87787.55969238281
Y2018_LAT23.525_LON90.16481,2018,90.16480821194499,23.52500333582075,0.0,0.45897801779587677,0.051578119203126625,0.345592543598332,0.0,0.14385131940266457,2,0,1,0,0,0,0,1,0.4589164562301636,458916.4562301636
Y2018_LAT23.52518_LON90.17459,2018,90.17459236327528,23.5251813673849,0.3267682543849545,0.3051340155323574,0.31578907020385844,0.0248627751507532,0.0,0.02744588472807646,1,1,0,0,0,0,0,1,0.30931080532836913,309310.80532836914
Y2018_LAT23.53385_LON90.15483,2018,90.15483003468516,23.533846342091746,0.0,0.0,0.0,0.751750248141136,0.0,0.24824975185886403,4,0,0,0,1,0,0,0,0.6275947598495484,627594.7598495483
Y2018_LAT23.53403_LON90.16461,2018,90.16461475513425,23.53402506394596,0.1661006491109645,0.21970024282522002,0.204500759542322,0.13799967081627906,0.0,0.27169867770521444,6,0,0,0,0,0,1,1,0.9987303644256592,998730.3644256592
Y2018_LAT23.5342_LON90.1744,2018,90.17439957193227,23.534203171844304,0.49669246314864485,0.2238147036460334,0.2632855648004342,0.008710068242578306,0.0,0.007497200162309286,1,1,0,0,0,0,0,1,0.9058607890701293,905860.7890701294
Y2018_LAT23.53438_LON90.18418,2018,90.18418448473497,23.53438066576062,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.016579294891357423,16579.294891357422
Y2018_LAT23.54269_LON90.14485,2018,90.14485052638558,23.542688569006817,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.21572049773406982,215720.49773406982
Y2018_LAT23.54287_LON90.15464,2018,90.15463581577698,23.542867981597322,0.03111536909203401,0.05853389780327257,0.0,0.7340305513764306,0.0,0.17632018172826286,4,0,0,0,1,0,0,0,0.972549864227295,972549.8642272949
Y2018_LAT23.54305_LON90.16442,2018,90.16442120199689,23.543046780077745,0.40290045157122467,0.46309995244204427,0.025400151521788348,0.07499965548586474,0.0,0.03359978897907799,2,0,1,0,0,0,0,1,0.9987303672103882,998730.3672103882
Y2018_LAT23.54322_LON90.17421,2018,90.17420668451803,23.54322496427895,0.5054988562108738,0.08939989709601212,0.40510124669311415,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.9987446240844726,998744.6240844727
Y2018_LAT23.5434_LON90.18399,2018,90.18399226315104,23.543402534303326,0.4938737143202393,0.10084838766682128,0.40527789801293945,0.0,0.0,0.0,1,1,0,0,0,0,0,1,0.21193544891357421,211935.44891357422
Y2018_LAT23.55153_LON90.13487,2018,90.13486968623559,23.551530015836853,0.0,0.856966779409496,0.1307027664663893,0.012330454124114768,0.0,0.0,2,0,1,0,0,0,0,0,0.08099400813293457,80994.00813293457
Y2018_LAT23.55171_LON90.14466,2018,90.14465554458269,23.551710119708087,0.0015498826279628617,0.05590573113735703,0.006974379710981417,0.9350164843895208,0.0,0.0005535221341779099,4,0,0,0,1,0,0,0,0.9021277667770385,902127.7667770386
Y2018_LAT23.55189_LON90.15444,2018,90.15444150021044,23.551889609170125,0.2887001799850292,0.30290056942757193,0.10740050833071005,0.30099874225668893,0.0,0.0,2,0,1,0,0,0,0,1,0.9987160634460449,998716.0634460449
Y2018_LAT23.55207_LON90.16423,2018,90.16422755244805,23.552068484213372,0.1774999320106941,0.5254998026110529,0.29570027246841335,0.001299992909839671,0.0,0.0,2,0,1,0,0,0,0,0,0.9987303698120117,998730.3698120117
Y2018_LAT23.55225_LON90.17401,2018,90.1740137011059,23.552246744855402,0.6417728113968968,0.1284205665873714,0.22515284916509543,0.0046537728506363995,0.0,0.0,1,1,0,0,0,0,0,0,0.9013664519577026,901366.4519577026
Y2018_LAT23.55242_LON90.1838,2018,90.18379994580019,23.552424390933815,0.14673924537109803,0.2744564434972495,0.5611412863401816,0.017663024791471003,0.0,0.0,3,0,0,1,0,0,0,0,0.07350824320220947,73508.24320220947
Y2018_LAT23.55946_LON90.07596,2018,90.07595685000386,23.55945748442499,0.0,0.3631130227278787,0.0,0.0,0.0,0.6368869772721213,6,0,0,0,0,0,1,0,0.10395469815063477,103954.69815063477
Y2018_LAT23.55964_LON90.08574,2018,90.08574278524303,23.559641352957325,0.0,0.3983992698761405,0.0,0.34720075827979324,0.0,0.25439997184406626,2,0,1,0,0,0,0,1,0.06241312474822998,62413.12474822998
Y2018_LAT23.56055_LON90.13467,2018,90.1346739410854,23.560551477377906,0.005256206311931216,0.4872534122045503,0.1498028571095605,0.3484890764237435,0.0,0.009198447950214596,2,0,1,0,0,0,0,1,0.38000215110778807,380002.1511077881
Y2018_LAT23.56073_LON90.14446,2018,90.14446046595044,23.560731658431777,0.25480127901658034,0.03279998506844413,0.0,0.7059987795903311,0.0,0.006399956324644471,4,0,0,0,1,0,0,0,0.9987017121124268,998701.7121124268
Y2018_LAT23.56091_LON90.15425,2018,90.15424708780246,23.56091122487003,0.5202992644944828,0.3741004309945995,0.0728003021581594,0.0,0.03280000235275833,0.0,1,1,0,0,0,0,0,0,0.9987160675735474,998716.0675735474
Y2018_LAT23.56109_LON90.16403,2018,90.16403380648616,23.56109017648935,0.504100403835846,0.10409977157253676,0.3917998245916174,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.9987303740921021,998730.374092102
Y2018_LAT23.56127_LON90.17382,2018,90.1738206215853,23.561268513405874,0.2614998430570145,0.14150027434001117,0.5969998826029743,0.0,0.0,0.0,3,0,0,1,0,0,0,0,0.9987446305694581,998744.630569458
Y2018_LAT23.56145_LON90.18361,2018,90.18360753279721,23.561446235584405,0.34509060178473944,0.35366542887843405,0.2954348685755529,0.005809100761273604,0.0,0.0,2,0,1,0,0,0,0,1,0.7221016843185425,722101.6843185425
Y2018_LAT23.56162_LON90.19339,2018,90.193394539743,23.561623342994867,0.09657181444018809,0.3263020143402374,0.5771261712195744,0.0,0.0,0.0,3,0,0,1,0,0,0,0,0.6060551046066284,606055.1046066284
Y2018_LAT23.5618_LON90.20318,2018,90.20318164221113,23.561799835632396,0.028598312809548908,0.278481154173307,0.6929205330171442,0.0,0.0,0.0,3,0,0,1,0,0,0,0,0.21304068893432618,213040.68893432617
Y2018_LAT23.56811_LON90.05618,2018,90.0561841032653,23.56810872663883,0.0,0.0,0.0,0.8271272286468948,0.0,0.17287277135310516,4,0,0,0,1,0,0,0,0.07509282682037353,75092.82682037354
Y2018_LAT23.56829_LON90.06597,2018,90.0659705057738,23.56829390346477,0.0,0.0,0.0,0.49171442547837296,0.0,0.508285574521627,6,0,0,0,0,0,1,0,0.4337858655395508,433785.8655395508
Y2018_LAT23.56848_LON90.07576,2018,90.07575700812465,23.56847846549364,0.0,0.02761066084877728,0.0,0.40995227750262053,0.0,0.5624370616486022,6,0,0,0,0,0,1,0,0.8788682603988648,878868.2603988647
Y2018_LAT23.56866_LON90.08554,2018,90.08554360972573,23.56866241285735,0.0,0.023701042812902813,0.0,0.6454346987264781,0.0,0.3308642584606191,4,0,0,0,1,0,0,0,0.9437903206634521,943790.3206634521
Y2018_LAT23.56885_LON90.09533,2018,90.09533031066343,23.568845745324147,0.0,0.007172019766166804,0.0,0.6414030503385677,0.0,0.35142492989526547,4,0,0,0,1,0,0,0,0.6126586168670655,612658.6168670654
Y2018_LAT23.56903_LON90.10512,2018,90.10511711033375,23.569028462994325,0.0,0.9386313730840928,0.0,0.061368626915907144,0.0,0.0,2,0,1,0,0,0,0,0,0.6346385269851684,634638.5269851685
Y2018_LAT23.56921_LON90.1149,2018,90.11490400835534,23.56921056583318,0.0,0.9936232812011077,0.0,0.006376718798892395,0.0,0.0,2,0,1,0,0,0,0,0,0.877021916267395,877021.916267395
Y2018_LAT23.56939_LON90.12469,2018,90.12469100463397,23.56939205383484,0.005873419934926712,0.7575587556557498,0.0013052054095531818,0.2345012503747569,0.0,0.0007613686250134299,2,0,1,0,0,0,0,0,0.9181797448043824,918179.7448043823
Y2018_LAT23.56957_LON90.13448,2018,90.1344780985673,23.56957292699432,0.10444651728972754,0.1289923016399353,0.020334768944716634,0.745199400555163,0.0,0.0010270115704575456,4,0,0,0,1,0,0,0,0.9724219916381835,972421.9916381836
Y2018_LAT23.56975_LON90.14427,2018,90.1442652900807,23.56975318514655,0.3961016659871186,0.03500006487644151,0.0,0.5684982717071388,0.0,0.0003999974293010516,4,0,0,0,1,0,0,0,0.9987017156448365,998701.7156448364
Y2018_LAT23.56993_LON90.15405,2018,90.15405257867346,23.569932828379407,0.614098867971439,0.1341002739932859,0.25040085999004313,0.0,0.0013999980452319145,0.0,1,1,0,0,0,0,0,0,0.9987160703735352,998716.0703735352
Y2018_LAT23.57011_LON90.16384,2018,90.16383996414751,23.570111856688687,0.24560029433297537,0.2096000313879588,0.5391996471728799,0.005600027106185877,0.0,0.0,3,0,0,1,0,0,0,0,0.998730376991272,998730.376991272
Y2018_LAT23.57029_LON90.17363,2018,90.1736274458886,23.570290270004396,0.1766999353245581,0.1396997857802577,0.6682002989515757,0.015399979943608488,0.0,0.0,3,0,0,1,0,0,0,0,0.9987446329345703,998744.6329345703
